address,size,name,namespace,source,recovery,organized_file
1039fe80,14,GeometryOcct::setMapChildColor,GeometryOcct,IMPORTED,pseudocode,src/geometry/GeometryOcct_recovered.cpp
103a0070,8,GeometryOcct::setMapLayereShapes,GeometryOcct,IMPORTED,pseudocode,src/geometry/GeometryOcct_recovered.cpp
103a0430,16,GeometryOcct::setModified,GeometryOcct,IMPORTED,pseudocode,src/geometry/GeometryOcct_recovered.cpp
103a0650,34,GeometryOcct::setOriginal,GeometryOcct,IMPORTED,pseudocode,src/geometry/GeometryOcct_recovered.cpp
103a0680,51,GeometryOcct::setProgramParams,GeometryOcct,IMPORTED,pseudocode,src/geometry/GeometryOcct_recovered.cpp
103a07c0,81,GeometryOcct::setSideFace3D,GeometryOcct,IMPORTED,pseudocode,src/geometry/GeometryOcct_recovered.cpp
103a0860,75,GeometryOcct::setTube3D,GeometryOcct,IMPORTED,pseudocode,src/geometry/GeometryOcct_recovered.cpp
103a08b0,78,GeometryOcct::setTube,GeometryOcct,IMPORTED,pseudocode,src/geometry/GeometryOcct_recovered.cpp
103a0900,31,GeometryOcct::setTubeColor,GeometryOcct,IMPORTED,pseudocode,src/geometry/GeometryOcct_recovered.cpp
103a0920,489,GeometryOcct::setWire3D,GeometryOcct,IMPORTED,pseudocode,src/geometry/GeometryOcct_recovered.cpp
103a23d0,81,GeometryOcct::setcoordArrayIds,GeometryOcct,IMPORTED,pseudocode,src/geometry/GeometryOcct_recovered.cpp
103a2430,10,GeometryOcct::setenableCoordArray,GeometryOcct,IMPORTED,pseudocode,src/geometry/GeometryOcct_recovered.cpp
103a27a0,432,GeometryOcct::shapeTransform,GeometryOcct,IMPORTED,pseudocode,src/geometry/GeometryOcct_recovered.cpp
103a2ee0,42,GeometryOcct::tr,GeometryOcct,IMPORTED,pseudocode,src/geometry/GeometryOcct_recovered.cpp
103a2f10,6260,GeometryOcct::tranferShape,GeometryOcct,IMPORTED,pseudocode,src/geometry/GeometryOcct_recovered.cpp
103a4ce0,444,GeometryOcct::updateMapLayer,GeometryOcct,IMPORTED,pseudocode,src/geometry/GeometryOcct_recovered.cpp
103a4ea0,995,GeometryOcct::updateMapLayer,GeometryOcct,IMPORTED,pseudocode,src/geometry/GeometryOcct_recovered.cpp
103a5870,1227,GeometryOcct::updateMinorIdMoveDown,GeometryOcct,IMPORTED,pseudocode,src/geometry/GeometryOcct_recovered.cpp
103aaad0,318,GeometryOcct::updateProgramParams,GeometryOcct,IMPORTED,pseudocode,src/geometry/GeometryOcct_recovered.cpp
103aac10,342,GeometryOcct::updateProgramParams,GeometryOcct,IMPORTED,pseudocode,src/geometry/GeometryOcct_recovered.cpp
103aad70,306,GeometryOcct::updateProgramParams,GeometryOcct,IMPORTED,pseudocode,src/geometry/GeometryOcct_recovered.cpp
103aaeb0,326,GeometryOcct::updateProgramParams,GeometryOcct,IMPORTED,pseudocode,src/geometry/GeometryOcct_recovered.cpp
103ab180,1652,GeometryOcct::valueCopyFrom,GeometryOcct,IMPORTED,pseudocode,src/geometry/GeometryOcct_recovered.cpp
103abab0,519,GeometryOcct::wireTransform,GeometryOcct,IMPORTED,pseudocode,src/geometry/GeometryOcct_recovered.cpp
1049c810,742,ModelRefine::FaceAdjacencySplitter::FaceAdjacencySplitter,ModelRefine::FaceAdjacencySplitter,IMPORTED,pseudocode,src/geometry/ModelRefine_recovered.cpp
1049cb00,23,ModelRefine::FaceEqualitySplitter::FaceEqualitySplitter,ModelRefine::FaceEqualitySplitter,IMPORTED,pseudocode,src/geometry/ModelRefine_recovered.cpp
1049cb20,124,ModelRefine::FaceTypeSplitter::FaceTypeSplitter,ModelRefine::FaceTypeSplitter,IMPORTED,pseudocode,src/geometry/ModelRefine_recovered.cpp
1049cba0,16,ModelRefine::FaceTypedBSpline::FaceTypedBSpline,ModelRefine::FaceTypedBSpline,IMPORTED,pseudocode,src/geometry/ModelRefine_recovered.cpp
1049cbb0,20,ModelRefine::FaceTypedBase::FaceTypedBase,ModelRefine::FaceTypedBase,IMPORTED,pseudocode,src/geometry/ModelRefine_recovered.cpp
1049cbd0,16,ModelRefine::FaceTypedCylinder::FaceTypedCylinder,ModelRefine::FaceTypedCylinder,IMPORTED,pseudocode,src/geometry/ModelRefine_recovered.cpp
1049cbe0,16,ModelRefine::FaceTypedPlane::FaceTypedPlane,ModelRefine::FaceTypedPlane,IMPORTED,pseudocode,src/geometry/ModelRefine_recovered.cpp
1049cbf0,245,ModelRefine::FaceUniter::FaceUniter,ModelRefine::FaceUniter,IMPORTED,pseudocode,src/geometry/ModelRefine_recovered.cpp
1049d900,427,ModelRefine::FaceAdjacencySplitter::~FaceAdjacencySplitter,ModelRefine::FaceAdjacencySplitter,IMPORTED,pseudocode,src/geometry/ModelRefine_recovered.cpp
1049dab0,65,ModelRefine::FaceEqualitySplitter::~FaceEqualitySplitter,ModelRefine::FaceEqualitySplitter,IMPORTED,pseudocode,src/geometry/ModelRefine_recovered.cpp
1049db00,186,ModelRefine::FaceTypeSplitter::~FaceTypeSplitter,ModelRefine::FaceTypeSplitter,IMPORTED,pseudocode,src/geometry/ModelRefine_recovered.cpp
1049dbc0,302,ModelRefine::FaceUniter::~FaceUniter,ModelRefine::FaceUniter,IMPORTED,pseudocode,src/geometry/ModelRefine_recovered.cpp
1049e8a0,276,ModelRefine::WireSort::operator(),ModelRefine::WireSort,IMPORTED,pseudocode,src/geometry/ModelRefine_recovered.cpp
